Data,Hora,Jogo Pesquisado,Canal Transmissao,Jogo transmissao,Espectadores Transmissao,Tags Transmissao,Tempo Assistido
18/01,10,Minecraft,ZAKl1k,Minecraft,22,Minecraft;Portugues,3042
18/01,14,Fortnite,MrSavage,Fortnite,8200,VOGUE;MODEL,3042
18/01,18,ROBLOX,Arguz11,ROBLOX,84,Roblox;rerun,3042
19/01,10,Overwatch 2,NEUU,Overwatch 2,413,English;ADHD;Australian,3042
19/01,14,Sea of Thieves,LDSylvr,Sea of Thieves,321,English,3042
20/01,10,League of Legends,k4sen,League of Legends,11500,ネタバレ注意,3042
20/01,14,The Sims 4,Kittey,The Sims 4,129,Deutsch;Competitive;Shooter,3042
21/01,10,Fortnite,Oatley,Fortnite,1600,BattleRoyale;Multiplayer;Professional,3042
21/01,14,The Sims 4,insanedra,The Sims 4,413,Deutsch,3042
21/01,18,Minecraft,YoungMulti,Minecraft,17400,Polski;Muzyka,3042
22/01,10,Minecraft,Gaules,Minecraft,2800,Português,1964
22/01,14,ROBLOX,Zintid,ROBLOX,20,English,1952
22/01,18,ROBLOX,nojimatv,Project Zomboid,20,roblox;robloxgames;Português,2727
23/01,10,Fortnite,Loeya,Fortnite,2300,English,2134
